Country,2013_energy_consumption,2013_maximum,2014_energy_consumption,2014_maximum,2015_energy_consumption,2015_maximum,2016_energy_consumption,2016_maximum,2017_energy_consumption,2017_maximum,2018_energy_consumption,2018_maximum,2019_energy_consumption,2019_maximum,2020_energy_consumption,2020_maximum,2021_energy_consumption,2021_maximum
The former Yugoslav Republic of Macedonia,30.12023,159207.4515,27.962751,183416.0001,29.476517,160673.7291,30.59213,140380.0017,29.433117,180460.8302,30.42636,150446.1965,31.057503,195995.1058,27.707994,179023.8734,28.997852,234794.0441
Timor-Leste,1.9007002,18190.49449,2.1808667,25928.49723,2.13834,19935.18242,2.0929565,15239.90878,2.134672,30843.8318,2.1638384,30458.60839,2.1804886,26795.927,2.0667233,33989.00538,2.1339822,29748.23426
Togo,9.597932,120350.7403,8.328414,130462.2122,6.4887404,144006.2439,8.692368,162037.5154,8.421565,201021.2211,10.085071,165591.7335,10.749471,171651.9784,9.730233,184539.7769,9.645073,180120.0737
Tonga,0.5056593,868.9085967,0.54864866,1075.916506,0.5736207,1065.73388,0.6066782,912.4459318,0.7202176,1426.353032,0.6288607,1337.725817,0.7203973,1511.258037,0.68865055,1671.605085,0.7102787,1743.740683
Trinidad and Tobago,228.57895,163519.9925,228.8344,155964.6871,221.63606,151090.6377,195.77258,143891.5866,207.06696,149024.525,194.03856,154898.3372,195.2032,152079.0883,169.34329,147857.2418,173.1243,145606.6087
Tunisia,98.607254,743798.6935,108.65896,753131.6518,112.222084,753222.2104,112.01615,695496.5273,118.58322,889733.52,121.81989,879080.602,122.03721,904830.7948,112.99091,969749.2741,116.7936,983004.4023
Turkey,1412.1876,5715065.16,1454.355,5984559.202,1589.0212,6457084.138,1669.2389,6547854.412,1787.3416,7875879.304,1787.8729,7322867.708,1849.1666,9009712.935,1821.7764,8570932.36,1951.1511,9998665.154
Turkmenistan,268.03357,2599095.553,283.70267,3502978.765,322.79703,2586434.511,349.10052,2126400.278,324.88077,2759813.654,366.50565,2463367.427,349.90903,2435682.896,439.79727,2594878.898,443.09784,2514954.231
U.K. of Great Britain and Northern Ireland,2376.7168,4856510.944,2246.046,5745286.02,2281.359,5694156.585,2243.5447,5106999.644,2249.0764,5032927.724,2246.8015,5293471.585,2199.0686,4964358.077,1971.1879,5309946.006,1990.9581,6240346.784
Uganda,22.977688,379349.6472,26.487562,387230.6055,26.524347,510638.2138,29.64469,480853.6086,32.298073,694772.0748,34.92294,531803.4617,34.858654,497517.2786,34.032326,501607.1086,35.162792,706165.5612
Ukraine,1369.5685,3444038.951,1208.3707,4519528.584,1003.4079,3900925.197,1049.9954,4104125.735,975.3309,4438402.384,1011.9886,4607191.649,957.66315,4689294.359,918.4516,4836455.878,934.7169,6590671.135
United Arab Emirates,1133.2446,1854775.609,1130.8772,2022893.17,1227.7888,2130099.124,1276.3125,1950919.541,1215.4445,1910286.364,1150.513,1953138.63,1219.0671,1998406.912,1204.6757,2073339.757,1246.315,2178470.034
United Republic of Tanzania,48.820095,1554043.974,51.073086,1308126.262,52.658886,1981171.383,57.78317,1405071.455,52.416847,1983362.026,56.283737,1900041.056,57.2517,1470744.512,56.37248,2180480.69,57.700302,2441028.321
Uruguay,62.865517,457369.0729,64.683334,411948.0151,66.68303,482390.3611,67.64129,431404.9479,65.31021,574139.2764,66.96002,558640.8995,68.516846,542017.8365,60.45974,630344.8307,62.75864,646166.6085
Uzbekistan,544.20325,2277299.945,567.4339,2222895.64,538.7107,1685851.514,522.3972,1475752.528,535.0315,2015812.007,540.08813,1644186.224,542.1058,1754744.918,539.9758,2113262.355,565.7743,2281749.354
Vanuatu,0.6384758,50283.08856,0.72912383,50012.90281,0.6867209,63371.36535,0.69276536,116650.82,0.77244866,77488.15696,0.99481606,69217.49855,0.96026534,14924.60686,0.9112493,21643.22171,0.94385636,19634.70338
Venezuela,1037.0094,9947696.463,1013.23816,9460203.299,969.30066,8860158.804,890.0844,8169582.389,872.97437,7317422.012,727.8724,7648612.963,656.968,9455192.954,527.86017,7716396.754,604.086,7940569.364
Vietnam,659.4035,1823571.823,728.0775,2447646.733,826.4728,2661081.07,898.7783,2773236.188,963.6317,3509577.07,1083.2736,3960070.646,1202.6356,3991767.347,1204.3934,3915547.593,1208.5538,3614122.228
Yemen,102.48065,984208.2913,97.00695,1007150.128,52.38784,843065.6813,41.93655,411362.9863,38.71062,855763.4602,36.047256,936319.6076,46.562454,856896.2376,35.254242,1048231.838,35.62147,1166652.823
Zambia,48.72951,1375890.814,52.302757,1216895.917,50.614338,1622468.63,47.732758,1338112.739,55.389618,1773812.398,62.3282,1782612.088,54.84517,1462711.591,58.65856,1768220.277,66.57597,1941359.527
Zimbabwe,55.37839,667670.2028,54.603966,869407.283,54.65108,1024683.727,46.64871,643906.085,45.256546,883293.5446,51.80943,921389.1062,46.11994,737856.0701,41.99676,823006.8037,42.145393,988502.22
antigua & barbuda,2.9079623,6254.372522,2.9732518,6716.978382,3.0433478,6941.643936,3.0876482,6440.754393,2.9374938,6985.765012,3.0266554,6975.719259,3.0427258,6432.193294,2.5749125,6013.009339,2.7469301,6270.486866
czech republic,490.22104,1186908.469,479.9369,1008893.543,470.71613,1092561.866,464.37427,1208764.533,490.5819,1515482.739,489.02423,1243786.77,477.90494,1375647.27,442.5676,1136477.317,466.40598,2040602.78
